date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:11	3098/3098	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d7-c1a%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/error-404.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/error-404.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:11	3073/3073	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d7-c01%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/error-500.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/error-500.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:12	15550/15550	---M--	200	added ('OK')	image/jpeg	etag:%225f3f98c1-3cbe%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face3.jpg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face3.jpg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:12	9899/9899	---M--	200	added ('OK')	image/jpeg	etag:%225f3f98c1-26ab%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face4.jpg	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/images/faces/face4.jpg	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:16	188/188	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3f98c1-bc%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/shared/off-canvas.js	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/shared/off-canvas.js	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:17	640009/640009	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3f98c1-9c409%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/js/vendor.bundle.base.js	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/js/vendor.bundle.base.js	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:17	3845/3845	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3f98c1-f05%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/shared/misc.js	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/shared/misc.js	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:18	28174/28174	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3f98c1-6e0e%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/demo_1/dashboard.js	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/demo_1/dashboard.js	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:18	3121/3121	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3f98c1-c31%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/shared/jquery.cookie.js	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/js/shared/jquery.cookie.js	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:19	640009/640009	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f3f98c1-9c409%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/js/vendor.bundle.addons.js	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/assets/vendors/js/vendor.bundle.addons.js	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
